id,name,nasa_jpl_url,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,diameter_min_meters,diameter_max_meters,diameter_avg_meters,close_approach_date,epoch_date_close_approach,relative_velocity_km_per_sec,relative_velocity_km_per_hour,relative_velocity_miles_per_hour,miss_distance_astronomical,miss_distance_lunar,miss_distance_kilometers,miss_distance_miles,orbiting_body
3445666,(2009 CA3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3445666,20.15,False,False,248.0589931518,554.6767711177,401.36788213475,2025-09-03,1756870560000,11.576030636,41673.7102895327,25894.4229296266,0.1789830257,69.6243969973,26775479.410875259,16637511.4142622142,Earth
3654483,(2013 XY20),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3654483,25.64,False,False,19.7949758664,44.2629116503,32.028943758349996,2025-09-03,1756936560000,2.9301219934,10548.4391760949,6554.3898869463,0.1899453064,73.8887241896,28415413.253937368,17656519.0523289584,Earth
54319144,(2022 UV5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54319144,25.67,False,False,19.5233786156,43.655601735,31.5894901753,2025-09-03,1756873860000,5.0582839341,18209.8221626016,11314.8753320899,0.2222395186,86.4511727354,33246558.612385382,20658453.5765149916,Earth
54338716,(2023 AA1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54338716,22.61,False,False,79.9015081239,178.6652036697,129.2833558968,2025-09-03,1756858680000,7.0416407131,25349.9065670327,15751.4461110543,0.4938081073,192.0913537397,73872641.040811451,45902330.6234059838,Earth
54347990,(2023 EF2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54347990,25.73,False,False,18.9913123471,42.46586539,30.72858886855,2025-09-03,1756897020000,27.924399849,100527.8394563572,62464.0900222015,0.4925105953,191.5866215717,73678536.009312011,45781719.3496513118,Earth
54391031,(2023 TB2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54391031,23.85,False,True,45.1393162824,100.9345796654,73.0369479739,2025-09-03,1756893060000,21.8618600554,78702.696199512,48902.794757969,0.485642708,188.915013412,72651114.69783196,45143309.350162648,Earth
54423944,(2024 CZ),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54423944,26.61,False,False,12.6635356293,28.3165265026,20.49003106595,2025-09-03,1756912800000,8.0004946272,28801.7806580854,17896.3064316864,0.2422356059,94.2296506951,36237930.680799433,22517205.9883328554,Earth
54541007,(2025 QN),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54541007,24.71,False,False,30.3777061387,67.9266159267,49.15216103269999,2025-09-03,1756918020000,8.3060553855,29901.7993876807,18579.8152917508,0.0767409333,29.8522230537,11480280.163492071,7133515.3080937398,Earth
54541027,(2025 PF3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54541027,26.02,False,False,16.617090174,37.1569432173,26.887016695649997,2025-09-03,1756922040000,6.9386690379,24979.2085362708,15521.1087707734,0.0418453974,16.2778595886,6259982.320343538,3889772.6427073044,Earth
54541878,(2025 QV5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54541878,27.44,False,False,8.6408203645,19.3214617164,13.981141040450002,2025-09-03,1756897800000,6.2056158397,22340.2170228076,13881.3420717551,0.0053809167,2.0931765963,804973.676967429,500187.4488673602,Earth
54542168,(2025 QM6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542168,24.0,False,False,42.1264610556,94.1976305719,68.16204581375,2025-09-03,1756921800000,10.0374382766,36134.777795593,22452.7456808227,0.0280151536,10.8978947504,4191007.306282832,2604171.1831018016,Earth
